VertX,VertY,VertZ,Latitude,Longtitude,Elevation
0,0.000035399426912006374,0,43.451,-80.4945,330.8811950683594
0.000009999999996068709,0.00003578876696134787,0,43.45101,-80.4945,330.9181823730469
0,0.000035185161389801774,0.000010000000003174137,43.451,-80.49451,330.86083984375
0.000009999999996068709,0.000035556833367597976,0.000010000000003174137,43.45101,-80.49451,330.8961486816406
0,0.00003497185958059156,0.000019999999992137418,43.451,-80.49452,330.840576171875
0.000009999999996068709,0.00003532618472450611,0.000019999999992137418,43.45101,-80.49452,330.8742370605469
0,0.00003475855777138135,0.000029999999995311555,43.451,-80.49453,330.8203125
0.000009999999996068709,0.00003509553608141381,0.000029999999995311555,43.45101,-80.49453,330.8523254394531
0,0.00003454525596217027,0.00003999999999848569,43.451,-80.49454,330.800048828125
0.000009999999996068709,0.00003486488743832195,0.00003999999999848569,43.45101,-80.49454,330.8304138183594
0,0.000034331954152959625,0.00005000000000165983,43.451,-80.49455,330.77978515625
0.000009999999996068709,0.00003463456003289459,0.00005000000000165983,43.45101,-80.49455,330.8085327148438
0,0.00003416169819078947,0.000060000000004833964,43.451,-80.49456,330.7636108398438
0.000009999999996068709,0.00003445081208881427,0.000060000000004833964,43.45101,-80.49456,330.7910766601562
0,0.00003400011564555884,0.00006999999999379725,43.451,-80.49457,330.7482604980469
0.000009999999996068709,0.00003427670127467003,0.00006999999999379725,43.45101,-80.49457,330.7745361328125
0,0.00003383853310032865,0.00007999999999697138,43.451,-80.49458,330.73291015625
0.000009999999996068709,0.00003410226922286128,0.00007999999999697138,43.45101,-80.49458,330.7579650878906
0,0.000033676950555097587,0.00009000000000014552,43.451,-80.49459,330.7175598144531
0.000009999999996068709,0.00003392815840871661,0.00009000000000014552,43.45101,-80.49459,330.7414245605469
0,0.00003352275647615106,0.00010000000000331966,43.451,-80.4946,330.7029113769531
0.000009999999996068709,0.00003376175729851924,0.00010000000000331966,43.45101,-80.4946,330.7256164550781
0,0.00003337434467516392,0.00010999999999228294,43.451,-80.49461,330.6888122558594
0.000009999999996068709,0.00003360178094161115,0.00010999999999228294,43.45101,-80.49461,330.7104187011719
0,0.000033225932874176786,0.00011999999999545707,43.451,-80.49462,330.6747131347656
0.000009999999996068709,0.00003344180458470349,0.00011999999999545707,43.45101,-80.49462,330.6952209472656
0,0.000033077521073190085,0.0001299999999986312,43.451,-80.49463,330.6606140136719
0.000009999999996068709,0.000033281828227795397,0.0001299999999986312,43.45101,-80.49463,330.6800231933594
0,0.000032945492393091514,0.00014000000000180535,43.451,-80.49464,330.6480712890625
0.000009999999996068709,0.00003313823499177587,0.00014000000000180535,43.45101,-80.49464,330.6663818359375
0,0.000032861649362663815,0.00014999999999076863,43.451,-80.49465,330.6401062011719
0.000009999999996068709,0.000033043791118420734,0.00014999999999076863,43.45101,-80.49465,330.6574096679688
0,0.00003277748509457161,0.00015999999999394277,43.451,-80.49466,330.6321105957031
0.000009999999996068709,0.000032949347245065166,0.00015999999999394277,43.45101,-80.49466,330.6484375
0,0.000032693642064144345,0.0001699999999971169,43.451,-80.49467,330.6241455078125
0.000009999999996068709,0.000032854903371709165,0.0001699999999971169,43.45101,-80.49467,330.6394653320312
0,0.000032609799033716646,0.00018000000000029104,43.451,-80.49468,330.6161804199219
0.000009999999996068709,0.000032760459498354464,0.00018000000000029104,43.45101,-80.49468,330.6304931640625
0,0.000032588276110196834,0.00019000000000346517,43.451,-80.49469,330.6141357421875
0.000009999999996068709,0.0000327289782072358,0.00019000000000346517,43.45101,-80.49469,330.6275024414062
0,0.000032569323087992645,0.00019999999999242846,43.451,-80.4947,330.6123352050781
0.000009999999996068709,0.00003270006681743362,0.00019999999999242846,43.45101,-80.4947,330.624755859375
0,0.000032550370065789324,0.0002099999999956026,43.451,-80.49471,330.6105346679688
0.000009999999996068709,0.000032671476665295084,0.0002099999999956026,43.45101,-80.49471,330.6220397949219
0,0.0000325314170435847,0.00021999999999877673,43.451,-80.49472,330.6087341308594
0.000009999999996068709,0.000032642565275492474,0.00021999999999877673,43.45101,-80.49472,330.6192932128906
0,0.00003249704461348634,0.00023000000000195087,43.451,-80.49473,330.60546875
0.000009999999996068709,0.00003260498046874947,0.00023000000000195087,43.45101,-80.49473,330.61572265625
0,0.000032455283717105175,0.00023999999999091415,43.451,-80.49474,330.6015014648438
0.000009999999996068709,0.00003256289833470337,0.00023999999999091415,43.45101,-80.49474,330.6117248535156
0,0.00003241320158305864,0.0002499999999940883,43.451,-80.49475,330.5975036621094
0.000009999999996068709,0.0000325208162006564,0.0002499999999940883,43.45101,-80.49475,330.6077270507812
0,0.00003237144068667704,0.0002599999999972624,43.451,-80.49476,330.5935363769531
0.000009999999996068709,0.00003247873406661116,0.0002599999999972624,43.45101,-80.49476,330.6037292480469
0,0.000032291773745887504,0.00027000000000043656,43.451,-80.49477,330.5859680175781
0.000009999999996068709,0.000032414807771381175,0.00027000000000043656,43.45101,-80.49477,330.59765625
0,0.00003214946546052644,0.0002800000000036107,43.451,-80.49478,330.5724487304688
0.000009999999996068709,0.00003231522409539349,0.0002800000000036107,43.45101,-80.49478,330.5881958007812
0,0.00003200747841282858,0.000289999999992574,43.451,-80.49479,330.5589599609375
0.000009999999996068709,0.00003221564041940711,0.000289999999992574,43.45101,-80.49479,330.5787353515625
0,0.000031865170127466647,0.0002999999999957481,43.451,-80.4948,330.5454406738281
0.000009999999996068709,0.00003211605674342073,0.0002999999999957481,43.45101,-80.4948,330.5692749023438
0,0.00003172286184210515,0.00030999999999892225,43.451,-80.49481,330.5319213867188
