VertX,VertY,VertZ,Latitude,Longtitude,Elevation
0,0,0,43.451,-80.4945,330.8811950683594
0,0,0,43.45101,-80.4945,330.9181823730469
0,0,0,43.451,-80.49451,330.86083984375
0,0,0,43.45101,-80.49451,330.8961486816406
0,0,0,43.451,-80.49452,330.840576171875
0,0,0,43.45101,-80.49452,330.8742370605469
0,0,0,43.451,-80.49453,330.8203125
0,0,0,43.45101,-80.49453,330.8523254394531
0,0,0,43.451,-80.49454,330.800048828125
0,0,0,43.45101,-80.49454,330.8304138183594
0,0,0,43.451,-80.49455,330.77978515625
0,0,0,43.45101,-80.49455,330.8085327148438
0,0,0,43.451,-80.49456,330.7636108398438
0,0,0,43.45101,-80.49456,330.7910766601562
0,0,0,43.451,-80.49457,330.7482604980469
0,0,0,43.45101,-80.49457,330.7745361328125
0,0,0,43.451,-80.49458,330.73291015625
0,0,0,43.45101,-80.49458,330.7579650878906
0,0,0,43.451,-80.49459,330.7175598144531
0,0,0,43.45101,-80.49459,330.7414245605469
0,0,0,43.451,-80.4946,330.7029113769531
0,0,0,43.45101,-80.4946,330.7256164550781
0,0,0,43.451,-80.49461,330.6888122558594
0,0,0,43.45101,-80.49461,330.7104187011719
0,0,0,43.451,-80.49462,330.6747131347656
0,0,0,43.45101,-80.49462,330.6952209472656
0,0,0,43.451,-80.49463,330.6606140136719
0,0,0,43.45101,-80.49463,330.6800231933594
0,0,0,43.451,-80.49464,330.6480712890625
0,0,0,43.45101,-80.49464,330.6663818359375
0,0,0,43.451,-80.49465,330.6401062011719
0,0,0,43.45101,-80.49465,330.6574096679688
0,0,0,43.451,-80.49466,330.6321105957031
0,0,0,43.45101,-80.49466,330.6484375
0,0,0,43.451,-80.49467,330.6241455078125
0,0,0,43.45101,-80.49467,330.6394653320312
0,0,0,43.451,-80.49468,330.6161804199219
0,0,0,43.45101,-80.49468,330.6304931640625
0,0,0,43.451,-80.49469,330.6141357421875
0,0,0,43.45101,-80.49469,330.6275024414062
0,0,0,43.451,-80.4947,330.6123352050781
0,0,0,43.45101,-80.4947,330.624755859375
0,0,0,43.451,-80.49471,330.6105346679688
0,0,0,43.45101,-80.49471,330.6220397949219
0,0,0,43.451,-80.49472,330.6087341308594
0,0,0,43.45101,-80.49472,330.6192932128906
0,0,0,43.451,-80.49473,330.60546875
0,0,0,43.45101,-80.49473,330.61572265625
0,0,0,43.451,-80.49474,330.6015014648438
0,0,0,43.45101,-80.49474,330.6117248535156
0,0,0,43.451,-80.49475,330.5975036621094
0,0,0,43.45101,-80.49475,330.6077270507812
0,0,0,43.451,-80.49476,330.5935363769531
0,0,0,43.45101,-80.49476,330.6037292480469
0,0,0,43.451,-80.49477,330.5859680175781
0,0,0,43.45101,-80.49477,330.59765625
0,0,0,43.451,-80.49478,330.5724487304688
0,0,0,43.45101,-80.49478,330.5881958007812
0,0,0,43.451,-80.49479,330.5589599609375
0,0,0,43.45101,-80.49479,330.5787353515625
0,0,0,43.451,-80.4948,330.5454406738281
0,0,0,43.45101,-80.4948,330.5692749023438
0,0,0,43.451,-80.49481,330.5319213867188
0,0,0,43.45101,-80.49481,330.559814453125
